id,private,size,nace,region,single_shift
1,0,L,P,30,FALSE
2,0,L,O,14,TRUE
3,0,L,O,04,TRUE
4,0,L,O,24,TRUE
5,0,L,O,04,TRUE
6,1,L,C,28,FALSE
7,1,L,H,22,FALSE
8,0,L,P,32,TRUE
9,0,L,P,32,TRUE
10,0,L,Q,10,FALSE
11,0,M,Q,24,FALSE
12,0,M,I,30,FALSE
13,0,L,P,20,TRUE
14,0,L,Q,12,TRUE
15,0,L,P,24,FALSE
16,0,L,Q,08,TRUE
17,0,L,Q,02,FALSE
18,0,L,Q,30,TRUE
19,0,L,Q,20,FALSE
20,0,L,Q,16,TRUE
21,0,L,Q,14,FALSE
22,0,L,Q,04,FALSE
23,0,L,Q,14,TRUE
24,0,L,O,24,TRUE
25,0,L,Q,12,FALSE
26,0,L,Q,10,FALSE
27,0,L,Q,26,FALSE
28,0,L,Q,16,FALSE
29,0,L,O,02,FALSE
30,0,L,O,02,TRUE
31,1,L,G,18,FALSE
32,1,L,G,18,FALSE
33,1,S,K.L,14,TRUE
34,1,L,C,22,TRUE
35,1,L,C,10,TRUE
36,1,L,C,28,FALSE
37,1,L,N,18,TRUE
38,1,L,K.L,22,TRUE
39,1,L,K.L,22,TRUE
40,1,L,K.L,18,FALSE
41,1,L,K.L,14,FALSE
42,1,L,K.L,08,TRUE
43,1,L,K.L,22,TRUE
44,0,L,O,04,FALSE
45,0,L,O,32,FALSE
46,0,L,O,24,FALSE
47,0,L,O,28,TRUE
48,0,L,O,30,FALSE
49,0,L,O,08,TRUE
50,0,L,Q,14,FALSE
51,0,L,M,24,TRUE
52,1,L,C,12,FALSE
53,0,L,O,16,TRUE
54,0,L,O,14,TRUE
55,0,L,O,06,TRUE
56,0,L,O,04,FALSE
57,0,L,H,30,FALSE
58,0,L,H,26,FALSE
59,1,L,C,24,FALSE
60,0,L,Q,14,FALSE
61,0,L,Q,24,FALSE
62,0,L,P,28,TRUE
63,0,L,P,10,TRUE
64,0,L,P,14,TRUE
65,1,L,K.L,22,TRUE
66,1,L,C,10,FALSE
67,1,L,G,24,FALSE
68,0,L,Q,22,FALSE
69,1,L,G,12,FALSE
70,1,L,G,18,FALSE
71,0,L,N,04,TRUE
72,0,L,P,22,TRUE
73,0,L,M,32,FALSE
74,1,L,G,20,FALSE
75,1,M,K.L,08,TRUE
76,1,L,C,04,TRUE
77,1,L,C,30,FALSE
78,1,L,C,22,FALSE
79,1,L,C,24,FALSE
80,1,L,F,26,TRUE
81,0,L,H,12,FALSE
82,1,L,F,10,TRUE
83,1,M,C,18,TRUE
84,1,L,C,06,TRUE
85,0,L,Q,32,FALSE
86,0,L,Q,32,TRUE
87,1,L,F,04,TRUE
88,0,L,Q,02,TRUE
89,0,L,M,02,TRUE
90,1,M,K.L,14,TRUE
91,0,L,Q,14,FALSE
92,0,L,Q,14,FALSE
93,1,L,C,32,FALSE
94,1,L,C,20,FALSE
95,1,L,N,24,FALSE
96,1,L,G,14,FALSE
97,1,L,G,14,FALSE
98,0,L,P,14,TRUE
99,1,L,G,14,TRUE
100,0,L,Q,24,FALSE
101,0,L,P,14,FALSE
102,0,L,H,14,FALSE
103,1,L,H,14,FALSE
104,1,L,H,14,FALSE
105,1,L,G,14,FALSE
106,0,L,O,14,TRUE
107,1,L,C,14,FALSE
108,1,L,D.E,14,FALSE
109,0,L,C,14,FALSE
110,0,L,P,14,TRUE
111,1,L,I,14,FALSE
112,1,L,K.L,14,TRUE
113,0,L,Q,14,TRUE
114,0,L,O,14,TRUE
115,1,L,N,14,FALSE
116,1,L,G,14,FALSE
117,1,L,C,12,FALSE
118,1,L,C,14,FALSE
119,1,L,K.L,10,FALSE
120,1,L,C,14,TRUE
121,1,L,G,14,FALSE
122,1,M,Q,14,FALSE
123,1,L,K.L,30,TRUE
124,1,L,R.S,02,FALSE
125,1,L,N,14,TRUE
126,1,L,D.E,14,FALSE
127,1,L,M,14,FALSE
128,1,L,C,02,FALSE
129,0,L,Q,02,FALSE
130,0,L,R.S,02,FALSE
131,0,L,P,02,TRUE
132,0,L,P,02,TRUE
133,1,L,J,02,TRUE
134,1,L,G,02,FALSE
135,1,L,F,02,FALSE
136,1,L,F,02,TRUE
137,0,M,D.E,02,TRUE
138,0,L,K.L,02,TRUE
139,0,M,R.S,02,FALSE
140,1,L,C,14,TRUE
141,1,L,G,20,FALSE
142,0,L,D.E,20,TRUE
143,1,L,C,20,FALSE
144,1,L,C,20,FALSE
145,1,L,F,20,TRUE
146,1,L,C,20,FALSE
147,0,L,Q,20,FALSE
148,1,L,G,20,FALSE
149,1,L,M,30,TRUE
150,1,L,C,12,FALSE
151,1,L,F,24,TRUE
152,1,L,G,14,FALSE
153,1,L,R.S,24,TRUE
154,1,L,C,24,FALSE
155,0,M,R.S,08,FALSE
156,1,L,C,08,FALSE
157,1,L,C,08,FALSE
158,1,S,D.E,04,TRUE
159,1,L,C,04,FALSE
160,1,L,I,04,FALSE
161,0,L,Q,04,TRUE
162,1,L,C,04,FALSE
163,1,L,H,04,FALSE
164,1,L,C,04,TRUE
165,1,L,Q,10,FALSE
166,1,L,C,10,TRUE
167,1,M,F,10,TRUE
168,1,M,F,06,TRUE
169,1,S,M,12,TRUE
170,1,L,C,12,FALSE
171,0,L,H,12,FALSE
172,1,L,C,12,TRUE
173,0,M,D.E,14,TRUE
174,1,L,C,14,FALSE
175,1,L,C,14,FALSE
176,0,L,D.E,14,TRUE
177,1,L,H,14,FALSE
178,1,S,M,14,TRUE
179,1,L,K.L,14,TRUE
180,1,L,C,02,FALSE
181,1,L,C,22,FALSE
182,1,L,C,14,FALSE
183,0,L,J,14,TRUE
184,1,L,G,14,FALSE
185,1,L,C,04,FALSE
186,1,L,C,02,FALSE
187,0,L,Q,14,FALSE
188,1,M,I,14,FALSE
189,1,L,M,14,TRUE
190,0,L,O,24,FALSE
191,1,M,N,24,TRUE
192,1,L,G,02,FALSE
193,1,L,H,16,FALSE
194,1,L,C,16,TRUE
195,1,S,I,28,TRUE
196,0,L,H,28,FALSE
197,1,L,C,28,FALSE
198,1,L,C,18,FALSE
199,1,L,G,14,FALSE
200,1,M,D.E,18,FALSE
201,1,L,M,18,TRUE
202,1,L,C,22,FALSE
203,0,L,D.E,22,FALSE
204,0,L,D.E,32,TRUE
205,0,M,P,22,FALSE
206,1,L,C,22,FALSE
207,1,L,F,22,TRUE
208,1,L,N,22,FALSE
209,1,M,G,22,TRUE
210,1,S,F,22,TRUE
211,1,L,G,22,FALSE
212,1,L,H,22,FALSE
213,0,L,K.L,22,TRUE
214,0,L,D.E,22,TRUE
215,0,M,K.L,20,TRUE
216,1,M,N,20,TRUE
217,0,L,D.E,08,FALSE
218,0,L,Q,08,TRUE
219,0,M,Q,08,FALSE
220,1,L,C,08,FALSE
221,1,L,C,08,FALSE
222,1,L,I,22,FALSE
223,1,L,C,28,FALSE
224,0,L,R.S,22,TRUE
225,1,L,I,22,FALSE
226,1,L,C,02,FALSE
227,1,L,C,18,FALSE
228,0,L,M,24,TRUE
229,1,L,G,24,FALSE
230,1,L,N,24,TRUE
231,0,L,Q,24,TRUE
232,1,L,F,24,TRUE
233,1,L,N,24,FALSE
234,1,L,G,24,FALSE
235,1,L,N,24,TRUE
236,1,M,F,30,TRUE
237,1,L,F,30,TRUE
238,1,L,C,30,FALSE
239,1,L,C,06,FALSE
240,1,L,C,26,TRUE
241,1,M,M,26,TRUE
242,1,L,K.L,24,TRUE
243,0,L,D.E,24,FALSE
244,1,L,C,24,FALSE
245,1,L,F,24,TRUE
246,1,L,G,24,TRUE
247,0,L,N,24,TRUE
248,1,L,C,24,TRUE
249,1,L,K.L,24,FALSE
250,1,L,F,24,TRUE
251,0,L,D.E,24,TRUE
252,1,L,G,24,FALSE
253,0,L,I,24,FALSE
254,1,S,G,24,TRUE
255,1,L,C,24,FALSE
256,0,L,H,24,FALSE
257,0,L,C,24,TRUE
258,0,L,Q,24,FALSE
259,0,M,Q,24,TRUE
260,0,L,Q,24,TRUE
261,1,L,C,24,FALSE
262,1,L,F,24,TRUE
263,1,L,N,24,FALSE
264,0,L,D.E,24,TRUE
265,0,L,D.E,28,FALSE
266,1,L,C,28,FALSE
267,1,L,C,26,TRUE
268,1,M,C,26,FALSE
269,1,L,J,26,FALSE
270,1,L,N,26,FALSE
271,1,L,D.E,26,TRUE
272,1,L,M,30,TRUE
273,1,L,C,30,FALSE
274,1,L,N,30,FALSE
275,1,L,C,30,TRUE
276,1,L,Q,02,FALSE
277,1,L,C,30,FALSE
278,1,L,G,30,FALSE
279,1,L,N,14,FALSE
280,1,L,H,32,TRUE
281,0,L,R.S,32,FALSE
282,0,L,P,32,FALSE
283,0,L,Q,32,FALSE
284,0,L,H,32,FALSE
285,0,L,R.S,32,FALSE
286,1,L,C,32,TRUE
287,0,L,Q,32,FALSE
288,0,L,Q,04,FALSE
289,1,L,C,04,FALSE
290,1,L,C,04,TRUE
291,1,L,C,12,FALSE
292,1,L,C,12,TRUE
293,1,L,N,14,TRUE
294,1,L,G,12,FALSE
295,1,L,C,30,FALSE
296,1,L,C,02,FALSE
297,1,M,N,24,FALSE
298,0,M,R.S,20,FALSE
299,1,L,N,24,TRUE
300,0,L,P,14,FALSE
301,1,L,I,24,FALSE
302,0,L,P,14,TRUE
303,1,L,M,30,TRUE
304,0,M,M,24,FALSE
305,1,M,K.L,10,TRUE
306,1,L,F,24,TRUE
307,1,L,G,22,FALSE
308,0,L,D.E,12,TRUE
309,1,L,C,14,FALSE
310,1,L,I,02,TRUE
311,1,L,K.L,14,TRUE
312,1,L,C,30,FALSE
313,0,L,D.E,02,FALSE
314,1,L,C,22,FALSE
315,1,L,G,06,TRUE
316,1,L,C,18,FALSE
317,0,L,D.E,18,TRUE
318,1,L,N,14,FALSE
319,1,L,C,18,TRUE
320,1,L,D.E,18,TRUE
321,0,S,Q,24,FALSE
322,1,L,G,02,FALSE
323,1,L,I,02,FALSE
324,0,L,D.E,02,TRUE
325,1,L,N,02,FALSE
326,1,L,C,02,FALSE
327,1,L,C,02,TRUE
328,0,L,K.L,02,TRUE
329,0,L,R.S,02,FALSE
330,1,L,H,02,FALSE
331,1,L,C,02,FALSE
332,1,L,C,06,FALSE
