id,private,size,nace,region,weight
1,0,L,O,14,1
2,0,L,O,24,6
3,0,L,R.S,14,1
4,0,L,R.S,14,1
5,0,L,R.S,22,1
6,0,M,R.S,26,1
7,0,L,R.S,12,1
8,0,M,R.S,18,1
9,0,L,R.S,14,1
10,0,L,R.S,02,1
11,0,L,R.S,14,1
12,0,L,P,12,1
13,0,L,P,10,1
14,0,L,P,02,1
15,0,L,P,04,1
16,0,L,P,04,1
17,0,L,P,24,1
18,0,L,P,14,1
19,0,L,P,10,1
20,0,L,P,30,1
21,0,L,P,12,1
22,0,L,P,14,1
23,0,L,O,14,1
24,0,L,K.L,14,1
25,0,L,O,14,1
26,0,L,O,06,1
27,0,L,O,04,1
28,0,L,O,24,1
29,0,L,O,08,1
30,0,L,O,30,1
31,0,L,O,24,1
32,0,L,O,02,1
33,0,L,O,30,1
34,0,L,O,32,1
35,0,L,O,22,1
36,0,L,O,12,1
37,0,L,O,14,1
38,0,L,O,28,1
39,0,L,O,14,1
40,0,L,O,12,1
41,0,L,O,10,1
42,0,L,O,32,1
43,0,L,O,06,1
44,0,L,O,26,1
45,0,L,O,30,1
46,0,L,O,04,1
47,0,L,O,22,1
48,0,L,O,30,1
49,0,L,O,14,1
50,1,L,C,18,2
51,0,L,M,24,2
52,0,L,D.E,24,1
53,0,M,I,24,1
54,0,L,M,24,1
55,1,L,C,12,1
56,1,L,C,24,1
57,0,L,C,22,1
58,0,L,M,14,1
59,1,L,C,10,18
60,0,L,M,14,1
61,0,L,M,14,1
62,0,L,M,14,1
63,0,L,P,18,1
64,1,L,C,18,1
65,0,L,H,14,2
66,0,L,M,10,1
67,1,L,C,22,1
68,0,M,O,12,5
69,0,M,O,16,4
70,0,L,M,14,1
71,1,L,F,20,1
72,1,M,N,20,1
73,0,L,O,14,1
74,1,L,C,22,2
75,0,L,O,10,1
76,0,L,O,10,6
77,0,L,M,28,1
78,0,L,O,02,1
79,0,L,O,30,1
80,0,L,O,26,1
81,0,L,O,08,1
82,0,L,O,32,1
83,0,L,O,20,1
84,0,L,O,32,1
85,0,L,P,30,1
86,0,L,P,14,1
87,0,L,P,32,1
88,0,L,C,30,1
89,1,L,C,28,1
90,0,L,M,30,1
91,0,L,O,16,1
92,0,L,H,14,1
93,0,L,M,14,1
94,0,L,K.L,24,1
95,0,L,K.L,12,1
96,0,L,K.L,30,1
97,0,L,K.L,22,1
98,0,L,K.L,14,2
99,0,L,K.L,02,1
100,0,L,O,24,6
101,0,M,O,16,4
102,0,L,O,32,5
103,0,L,O,14,9
104,0,L,C,26,1
105,1,M,H,22,15
106,1,L,G,14,1
107,1,L,H,22,1
108,0,L,H,22,1
109,0,L,O,22,1
110,0,L,O,32,1
111,0,L,O,22,1
112,0,L,P,22,1
113,0,L,O,02,1
114,0,M,K.L,20,1
115,0,L,K.L,02,1
116,0,L,O,14,1
117,0,L,O,04,1
118,0,L,O,22,1
119,0,L,O,06,1
120,0,L,O,28,1
121,0,L,O,16,1
122,0,L,O,30,1
123,0,L,O,18,1
124,0,L,O,32,1
125,0,L,O,30,1
126,0,L,O,12,1
127,0,L,M,14,1
128,0,L,C,24,1
129,0,L,C,30,1
130,0,L,C,02,1
131,0,L,C,14,1
132,0,L,P,14,1
133,0,L,P,12,1
134,0,L,P,30,1
135,0,L,O,14,1
136,0,L,O,14,1
137,0,L,Q,32,2
138,0,L,P,14,1
139,0,L,P,12,1
140,0,L,P,32,1
141,0,L,P,22,1
142,0,L,P,10,1
143,0,L,R.S,32,1
144,0,L,P,22,1
145,0,L,P,04,1
146,0,M,P,32,6
147,0,L,P,32,1
148,0,L,P,24,7
149,0,L,Q,10,2
150,0,L,P,14,8
151,0,M,R.S,02,1
152,0,L,P,02,1
153,0,L,Q,12,1
154,0,L,Q,04,1
155,0,L,P,06,1
156,0,M,I,06,1
157,0,M,P,02,7
158,0,L,P,32,1
159,0,L,P,28,1
160,0,M,Q,24,12
161,0,M,P,10,6
162,0,L,P,32,1
163,0,L,P,22,1
164,0,L,P,22,1
165,0,L,P,10,1
166,0,L,P,32,1
167,0,L,I,22,2
168,0,L,P,32,2
169,0,L,P,32,1
170,0,L,P,22,1
171,0,M,Q,08,1
172,0,L,P,30,1
173,0,M,M,32,7
174,0,L,P,30,1
175,0,M,I,30,13
176,0,L,P,14,1
177,0,L,P,14,1
178,0,L,P,14,1
179,0,L,P,14,2
180,0,L,O,14,1
181,0,L,P,24,1
182,0,L,R.S,12,1
183,0,L,R.S,30,1
184,0,L,R.S,12,1
